LOCALITY_NAME,POSTCODE,STATE_ABBREVIATION,full_suburb
Aarons Pass,2850,NSW,"Abbotsford, VIC, 3067"
Abba River,223,NSW,"Oatley, NSW, 2223"
Abba River,6280,WA,"Abba River, WA, 6280"
Abbey,6280,WA,"Aarons Pass, NSW, 2850"
Abbeyard,3737,VIC,"Abbeyard, VIC, 3737"
Abbeywood,4613,QLD,"Abbeywood, QLD, 4613"
Abbotsbury,2176,NSW,"Abbotsbury, NSW, 2176"
Abbotsford,2046,NSW,"Abbotsford, NSW, 2046"
Abbotsford,3067,VIC,"Abbey, WA, 6280"
Abbotsford,4670,QLD,"Abbotsford, QLD, 4670"
Abbotsham,7315,TAS,"Abbotsham, TAS, 7315"
Abels Bay,7112,TAS,"Abels Bay, TAS, 7112"
Abercorn,4627,QLD,"Abercorn, QLD, 4627"
Abercrombie,2795,NSW,"Abercrombie, NSW, 2795"
Abercrombie River,2795,NSW,"Abercrombie River, NSW, 2795"
Aberdare,2325,NSW,"Aberdare, NSW, 2325"
Aberdeen,2336,NSW,"Aberdeen, NSW, 2336"
Aberdeen,7310,TAS,"Aberdeen, TAS, 7310"
Aberfeldie,3040,VIC,"Aberfeldie, VIC, 3040"
Aberfeldy,3825,VIC,"Aberfeldy, VIC, 3825"
Aberfoyle,2350,NSW,"Aberfoyle, NSW, 2350"
Aberfoyle Park,5159,SA,"Aberfoyle Park, SA, 5159"
Aberglasslyn,2320,NSW,"Aberglasslyn, NSW, 2320"
Abergowrie,4850,QLD,"Abergowrie, QLD, 4850"
Abermain,2326,NSW,"Abermain, NSW, 2326"
Abernethy,2325,NSW,"Abernethy, NSW, 2325"
Abington,2350,NSW,"Abington, NSW, 2350"
Abington,4660,QLD,"Abington, QLD, 4660"
Abminga Station,5440,SA,"Abminga Station, SA, 5440"
Acacia Creek,2476,NSW,"Acacia Creek, NSW, 2476"
Acacia Gardens,2763,NSW,"Acacia Gardens, NSW, 2763"
Acacia Hills,7306,TAS,"Acacia Hills, TAS, 7306"
Acacia Hills,822,NT,"Acacia Hills, NT, 822"
Acacia Larrakia,837,NT,"Acacia Larrakia, NT, 837"
Acacia Ridge,4110,QLD,"Acacia Ridge, QLD, 4110"
Acheron,3714,VIC,"Acheron, VIC, 3714"
Acland,4401,QLD,"Acland, QLD, 4401"
Acton,2601,ACT,"Acton, ACT, 2601"
Acton,7320,TAS,"Acton, TAS, 7320"
Acton Park,6280,WA,"Acton Park, WA, 6280"
Acton Park,7170,TAS,"Acton Park, TAS, 7170"
Adaminaby,2629,NSW,"Adaminaby, NSW, 2629"
Adams Estate,3984,VIC,"Adams Estate, VIC, 3984"
Adamstown,2289,NSW,"Adamstown, NSW, 2289"
Adamstown Heights,2289,NSW,"Adamstown Heights, NSW, 2289"
Adamsvale,6375,WA,"Adamsvale, WA, 6375"
